timestamp,subestacao_id,tensao_kv,corrente_a,potencia_mw,temperatura_c,status_alarme,operador_id,_flags,tensao_kv_norm,corrente_a_norm,potencia_mw_norm,temperatura_c_norm,hora,dia_semana,mes,semana_ano,is_weekend,hora_seno,hora_cosseno
2024-01-01 00:00:00,SE_02,137.402,505.61,86.322,47.5,OK,OP006,,0.45094075865195826,0.6372017223130956,0.5146825754744939,0.6673076923076924,0,0,1,1,0,0.0,1.0
2024-01-01 00:30:00,SE_04,135.461,412.67,85.481,45.6,AVISO,OP013,,0.30427308447937484,0.41363778504762827,0.5092643894393691,0.6088461538461538,0,0,1,1,0,0.0,1.0
2024-01-01 01:00:00,SE_02,137.033,496.91,86.695,47.6,OK,OP011,,0.42305803234094164,0.6162741749254307,0.5170856472831759,0.6703846153846154,1,0,1,1,0,0.25881904510252074,0.9659258262890683
2024-01-01 01:30:00,SE_01,136.069,529.2,116.76,45.3,OK,OP009,,0.35021535439020823,0.6939466467814878,0.7107809661250628,0.5996153846153844,1,0,1,1,0,0.25881904510252074,0.9659258262890683
2024-01-01 02:00:00,SE_02,144.66825,367.11,108.383,46.6,AVISO,OP003,,1.0,0.30404478976234006,0.6568117099820897,0.6396153846153847,2,0,1,1,0,0.49999999999999994,0.8660254037844387
2024-01-01 02:30:00,SE_01,136.754,530.98,121.304,41.1,OK,OP010,,0.4019759709838304,0.6982283748676995,0.7400559213493281,0.4703846153846154,2,0,1,1,0,0.49999999999999994,0.8660254037844387
2024-01-01 03:00:00,SE_03,135.422,374.01,102.13,39.4,OK,OP012,,0.30132612966601435,0.32064249975945336,0.6165264337898955,0.418076923076923,3,0,1,1,0,0.7071067811865475,0.7071067811865476
2024-01-01 03:30:00,SE_05,140.091,399.17,109.947,44.6,OK,OP005,,0.6541295148859021,0.3811640046184932,0.6668878609439627,0.5780769230769232,3,0,1,1,0,0.7071067811865475,0.7071067811865476
2024-01-01 04:00:00,SE_06,140.604,283.29,77.436,44.7,OK,OP003,,0.6928933051231692,0.10241869527566616,0.457434060482676,0.5811538461538464,4,0,1,1,0,0.8660254037844386,0.5000000000000001
2024-01-01 04:30:00,SE_05,136.415,498.09,89.659,46.0,CRITICO,OP014,,0.37636013299078286,0.6191126238814587,0.5361813707173138,0.6211538461538462,4,0,1,1,0,0.8660254037844386,0.5000000000000001
2024-01-01 05:00:00,SE_02,139.773,453.65,108.085,33.3,OK,OP005,,0.6301004987154304,0.5122137496391802,0.6548918295558505,0.2303846153846152,5,0,1,1,0,0.9659258262890683,0.25881904510252074
2024-01-01 05:30:00,SE_08,139.348,309.08,110.953,36.8,OK,OP007,,0.5979862475442062,0.16445564322139883,0.6733690680204616,0.33807692307692294,5,0,1,1,0,0.9659258262890683,0.25881904510252074
2024-01-01 06:00:00,SE_07,133.784,500.56,115.013,31.5,OK,OP007,,0.17755402750491278,0.6250541229673819,0.6995258281900295,0.17500000000000004,6,0,1,1,0,1.0,6.123233995736766e-17
2024-01-01 06:30:00,SE_04,134.738,265.98,94.224,49.7,OK,OP004,,0.24964107601632435,0.06078009236986415,0.5655916195286629,0.7350000000000001,6,0,1,1,0,1.0,6.123233995736766e-17
2024-01-01 07:00:00,SE_08,133.836,580.14,84.117,46.8,OK,OP011,,0.1814833005893952,0.8164810449340903,0.5004767488306768,0.6457692307692307,7,0,1,1,0,0.9659258262890683,-0.25881904510252063
2024-01-01 07:30:00,SE_02,139.012,442.77,112.847,45.7,OK,OP004,,0.5725970983829551,0.48604228807851435,0.6855712610650826,0.611923076923077,7,0,1,1,0,0.9659258262890683,-0.25881904510252063
2024-01-01 08:00:00,SE_02,140.215,359.76,67.04,40.7,OK,OP001,,0.6634993199335053,0.2863646204175887,0.39045729232434384,0.45807692307692327,8,0,1,1,0,0.8660254037844387,-0.4999999999999998
2024-01-01 08:30:00,SE_01,139.755,527.08,112.816,35.2,OK,OP009,,0.6287403657246493,0.688847060521505,0.6853715419603397,0.288846153846154,8,0,1,1,0,0.8660254037844387,-0.4999999999999998
2024-01-01 09:00:00,SE_06,139.454,438.24,86.608,43.2,OK,OP009,,0.60599591960103,0.4751455306456268,0.5165251452795423,0.5350000000000001,9,0,1,1,0,0.7071067811865476,-0.7071067811865475
2024-01-01 09:30:00,SE_04,139.34,400.12,76.517,34.2,AVISO,OP012,,0.5973817439927469,0.3834491965746175,0.4515133554098107,0.2580769230769231,9,0,1,1,0,0.7071067811865476,-0.7071067811865475
2024-01-01 10:00:00,SE_07,137.407,436.34,89.95,45.0,AVISO,OP002,,0.45131857337162096,0.4705751467333782,0.5380561532811916,0.5903846153846153,10,0,1,1,0,0.49999999999999994,-0.8660254037844387
2024-01-01 10:30:00,SE_04,135.682,471.01,114.446,38.1,OK,OP007,,0.3209724950884105,0.553972625805831,0.6958729013387622,0.3780769230769232,10,0,1,1,0,0.49999999999999994,-0.8660254037844387
2024-01-01 11:00:00,SE_05,140.905,365.18,61.595,57.0,OK,OP004,,0.7156377512467902,0.2994022418935822,0.3553775979589996,0.9596153846153845,11,0,1,1,0,0.258819045102521,-0.9659258262890682
2024-01-01 11:30:00,SE_08,139.021,529.16,98.895,42.0,AVISO,OP013,,0.5732771648783448,0.6938504281728087,0.5956847788271978,0.4980769230769231,11,0,1,1,0,0.258819045102521,-0.9659258262890682
2024-01-01 12:00:00,SE_03,137.692,304.57,108.574,46.7,OK,OP010,,0.4728540123923253,0.1536069950928508,0.6580422373693773,0.6426923076923079,12,0,1,1,0,1.2246467991473532e-16,-1.0
2024-01-01 12:30:00,SE_01,135.056,425.58,101.126,36.3,OK,OP007,,0.2736700921867943,0.4446923409987492,0.6100581118169285,0.3226923076923076,12,0,1,1,0,1.2246467991473532e-16,-1.0
2024-01-01 13:00:00,SE_05,140.859,240.7125000000001,90.477,45.1,OK,OP011,,0.7121618558259044,0.0,0.5414513780618228,0.5934615384615385,13,0,1,1,0,-0.2588190451025208,-0.9659258262890683
2024-01-01 13:30:00,SE_01,136.455,606.36,92.613,41.7,OK,OP005,,0.37938265074807553,0.8795523429231217,0.5552126686337925,0.48884615384615393,13,0,1,1,0,-0.2588190451025208,-0.9659258262890683
2024-01-01 14:00:00,SE_01,138.306,497.95,62.355,37.9,AVISO,OP001,,0.5192496599667553,0.6187758587510824,0.3602739373010862,0.3719230769230768,14,0,1,1,0,-0.4999999999999997,-0.8660254037844388
2024-01-01 14:30:00,SE_05,138.039,525.51,86.726,42.1,OK,OP014,,0.4990743539368303,0.6850704801308575,0.5172853663879189,0.5011538461538463,14,0,1,1,0,-0.4999999999999997,-0.8660254037844388
2024-01-01 15:00:00,SE_02,139.31,416.76,103.085,38.7,OK,OP009,,0.5951148556747778,0.42347613778504767,0.6226790707263332,0.39653846153846173,15,0,1,1,0,-0.7071067811865471,-0.7071067811865479
2024-01-01 15:30:00,SE_04,133.256,439.92,85.404,36.4,OK,OP013,,0.13765679310866297,0.47918671221014153,0.5087683129533945,0.3257692307692308,15,0,1,1,0,-0.7071067811865471,-0.7071067811865479
2024-01-01 16:00:00,SE_08,140.508,350.87,74.859,43.4,CRITICO,OP005,,0.6856392625056689,0.264980034638699,0.44083160458194276,0.5411538461538461,16,0,1,1,0,-0.8660254037844384,-0.5000000000000004
